0,1,2,3,4,5,6,7
Diaigen Maru,8-Dec-1921,Heavy Gale,At Sea,Not Stated,February 1922,82,
Jessy & Alice,8-Dec-1921,Bad Weather,At Sea,Damage to deck,February 1922,82,
S-48,8-Dec-1921,Rammed,"Bridgeport, Connecticut",Sank,February 1922,83,
Tonesit,8-Dec-1921,Disabled,At Sea,Gear broke,February 1922,83,
Valerie,8-Dec-1921,Disabled,"St. Johns, Newfoundland",Damage to bulwarks and sails,February 1922,83,
Eastern Leader,9-Dec-1921,Disabled,At Sea,Propeller blades lost,February 1922,82,
Glenealy,9-Dec-1921,Disabled,"St. Johns, Newfoundland",Minor damage,February 1922,82,
Grecian,9-Dec-1921,Disabled,Boston,Propeller Damaged,February 1922,82,
J. D. Archbold,9-Dec-1921,Disabled,Newport News,Machinery disabled,February 1922,82,
Comet,10-Dec-1921,Explosion and Fire,Vanity Fair,Not Stated,February 1922,82,
Rose Castle,10-Dec-1921,Disabled,"St.  Johns, Newfoundland",Slight shaft trouble,February 1922,83,
Sao Vicente,10-Dec-1921,Fire,New Bedford,Not Stated,February 1922,83,
Transvaal,10-Dec-1921,Collision,Panuco River,Stem damaged,February 1922,83,
Conejos,11-Dec-1921,Struck Pier,"Claymont, Delware",Undamaged,February 1922,82,
Katuna,11-Dec-1921,Collision,Keelung Harbor,Slight Damage,February 1922,82,
Korea Maru,11-Dec-1921,Collision,Keelung Harbor,Undamaged,February 1922,82,
Multonah,11-Dec-1921,Disabled,San Francisco,Broken steam pipe,February 1922,82,
Blue Peter,12-Dec-1921,Fire,Off Uruguayan Coast,Abandoned,February 1922,82,
Captaine Damaine,12-Dec-1921,Collision,Port Arthur,Badly damaged,February 1922,82,
Gilda,12-Dec-1921,Disabled,At Sea,Gear broke,February 1922,82,
Occidental,12-Dec-1921,Collision,Port Arthur,Damage to stem,February 1922,83,
Chiswick,13-Dec-1921,Disabled,Bermuda,Machinery disabled,February 1922,82,
Harvard,13-Dec-1921,Wrecked,Honolulu,Total loss,February 1922,82,
Politician,13-Dec-1921,Disabled,Queenstown,Machinery disabled,February 1922,83,
Sixaola,13-Dec-1921,Disabled,New York,Engine trouble,February 1922,83,
Badger,14-Dec-1921,Disabled,Galveston Channel,Bottom up,February 1922,82,
Hugh McKenna,14-Dec-1921,Ashore,Near Ellis Island,Not Stated,February 1922,82,
